task,model,step,train_loss,train_ce,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,edge_density,edge_entropy,acc_route,w_graph_route,w_order_route,w_key_route,acc_order,w_graph_order,w_order_order,w_key_order,acc_kv,w_graph_kv,w_order_kv,w_key_kv,w_graph,w_order,w_key,router_entropy,order_abs,key_entropy,base_edge_density,base_edge_entropy
mixed,router,1,0.736195981502533,0.7166339755058289,0.7273164689540863,0.490234375,0.490234375,1,60490,2.1495521068573,0.5158450603485107,,,0.48823529411764705,0.3592265546321869,0.26603662967681885,0.37473684549331665,0.4970588235294118,0.37757596373558044,0.29016679525375366,0.3322572708129883,0.48546511627906974,0.257344126701355,0.26725679636001587,0.4753990173339844,0.3354930281639099,0.2709452211856842,0.39356178045272827,0.9782372117042542,0.3058534860610962,0.9999918937683105,0.1857638955116272,0.5489100217819214
mixed,router,30,0.2779961824417114,0.26662006974220276,0.29870248958468437,0.8486328125,0.8486328125,30,60490,0.7989866733551025,7.304135322570801,,,0.9029411764705882,0.029302239418029785,0.41838106513023376,0.5523167252540588,0.9558823529411765,0.04169074445962906,0.8664541244506836,0.09185518324375153,0.688953488372093,0.029777133837342262,0.17083604633808136,0.7993868589401245,0.03324384614825249,0.4841199815273285,0.4826361835002899,0.5599381923675537,0.306509792804718,0.9999667406082153,0.1857638955116272,0.5489055514335632
mixed,router,60,0.2055063396692276,0.19560958445072174,0.17024800926446915,0.9248046875,0.9248046875,60,60490,0.26556721329689026,13.919384002685547,,,0.9941176470588236,0.010751334950327873,0.35600101947784424,0.6332476735115051,0.9882352941176471,0.01255378220230341,0.9300404191017151,0.05740586668252945,0.7936046511627907,0.023932762444019318,0.26022857427597046,0.7158386707305908,0.015446974895894527,0.5125436782836914,0.4720093607902527,0.4977257549762726,0.31143587827682495,0.9998813271522522,0.1857638955116272,0.548905074596405
mixed,router,90,0.0965154767036438,0.08747752755880356,0.09398044273257256,0.9560546875,0.9560546875,90,60490,0.3805425465106964,20.69217085838318,,,0.9970588235294118,0.004273594357073307,0.41618627309799194,0.5795401930809021,0.9882352941176471,0.0040202634409070015,0.9692707657814026,0.026708966121077538,0.8837209302325582,0.009065261110663414,0.33786246180534363,0.6530722379684448,0.005679819732904434,0.5674624443054199,0.42685773968696594,0.4486430287361145,0.3095487058162689,0.99956214427948,0.1857638955116272,0.548905074596405
mixed,router,120,0.039333611726760864,0.031354811042547226,0.021294798236340284,0.99609375,0.99609375,120,60490,0.21867670118808746,27.48355722427368,,,1.0,0.0020299218595027924,0.4364151060581207,0.561555027961731,1.0,0.0015224346425384283,0.9866995811462402,0.011777985841035843,0.9883720930232558,0.0040772357024252415,0.3010767698287964,0.694845974445343,0.0025824285112321377,0.5773545503616333,0.4200630187988281,0.402376651763916,0.30850934982299805,0.998969554901123,0.1857638955116272,0.548905074596405
mixed,router_hard,1,0.6980580687522888,0.6980580687522888,0.755684956908226,0.515625,0.515625,1,60490,2.060030460357666,0.5173442363739014,,,0.5558823529411765,0.3613227307796478,0.3516051769256592,0.2870721220970154,0.49411764705882355,0.44225284457206726,0.31936192512512207,0.23838520050048828,0.49709302325581395,0.35924872756004333,0.30252841114997864,0.33822283148765564,0.3859936594963074,0.32714158296585083,0.2868647575378418,0.9848695397377014,0.3080611228942871,0.9999945163726807,0.1857638955116272,0.5489107370376587
mixed,router_hard,30,0.44568192958831787,0.44568192958831787,0.6098441630601883,0.646484375,0.646484375,30,60490,0.3158257305622101,7.078878164291382,,,0.7294117647058823,0.03143962100148201,0.23999245464801788,0.728567898273468,0.6176470588235294,0.07933662831783295,0.27600157260894775,0.6446618437767029,0.5930232558139535,0.06721537560224533,0.3929694890975952,0.5398151278495789,0.05903959274291992,0.2912404537200928,0.6497198939323425,0.6279849410057068,0.31116005778312683,0.9999767541885376,0.1857638955116272,0.5489069223403931
mixed,router_hard,60,0.4304477870464325,0.4304477870464325,0.3920375555753708,0.81640625,0.81640625,60,60490,0.42488545179367065,14.050861120223999,,,0.9147058823529411,0.006881620269268751,0.23066222667694092,0.7624561190605164,0.7588235294117647,0.01845403015613556,0.36500582098960876,0.6165401935577393,0.7761627906976745,0.03194734826683998,0.26761308312416077,0.7004395127296448,0.019451919943094254,0.29538339376449585,0.6851646900177002,0.4290426969528198,0.30769938230514526,0.9999015927314758,0.1857638955116272,0.5489063858985901
mixed,router_hard,90,0.26497355103492737,0.26497355103492737,0.27597059309482574,0.8662109375,0.8662109375,90,60490,0.24709682166576385,20.85854959487915,,,0.9911764705882353,0.002033859258517623,0.2346194088459015,0.7633466720581055,0.788235294117647,0.005459669977426529,0.5382015705108643,0.4563387930393219,0.8197674418604651,0.009715870954096317,0.25983235239982605,0.730451762676239,0.005848303437232971,0.3651173710823059,0.6290343403816223,0.32195740938186646,0.3098280429840088,0.999553918838501,0.1857638955116272,0.5489063858985901
mixed,router_hard,120,0.1434684842824936,0.1434684842824936,0.19717523455619812,0.8916015625,0.8916015625,120,60490,0.1402759850025177,27.812254667282104,,,0.9941176470588236,0.0011308245593681931,0.22893089056015015,0.7699382305145264,0.7529411764705882,0.002664396306499839,0.4705127477645874,0.5268229246139526,0.9273255813953488,0.00441131554543972,0.1984397917985916,0.7971488833427429,0.002748675411567092,0.2979028820991516,0.6993484497070312,0.23606465756893158,0.3096359968185425,0.9984278082847595,0.1857638955116272,0.5489063858985901
