task,model,step,train_loss,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,plateau,key_entropy,order_abs,order_gate
order_compare,adfc6,90,0.6918475031852722,0.6564976125955582,0.59765625,0.59765625,90,162988,0.183196023106575,38.70654010772705,0.45607075095176697,0.886411190032959,0.019987070932984352,0.4873698949813843
order_compare,adfc6,120,0.5865544080734253,0.5499819368124008,0.6748046875,0.6748046875,120,162988,0.5754059553146362,51.2672655582428,0.4099035859107971,0.8515623807907104,0.035956330597400665,0.48267877101898193
kv_recall4,mean_pool,1,0.7047566771507263,0.694481611251831,0.490234375,0.490234375,1,109060,0.22591085731983185,0.08198881149291992,,,,
kv_recall4,mean_pool,30,0.6484406590461731,0.6350938975811005,0.673828125,0.673828125,30,109060,0.06875184178352356,0.7041795253753662,,,,
kv_recall4,mean_pool,60,0.6270580291748047,0.6073795109987259,0.6884765625,0.6884765625,60,109060,0.19924300909042358,1.346329689025879,,,,
kv_recall4,mean_pool,90,0.6147130131721497,0.605216920375824,0.6708984375,0.6884765625,60,109060,0.43498265743255615,2.013641357421875,,,,
kv_recall4,mean_pool,120,0.5524077415466309,0.5830857455730438,0.6669921875,0.6884765625,60,109060,0.12338706105947495,2.659400463104248,,,,
kv_recall4,adfc3,1,0.7389270663261414,0.7225778847932816,0.47265625,0.47265625,1,161124,0.9677026271820068,0.9347646236419678,0.49907857179641724,0.9638614058494568,,
kv_recall4,adfc3,30,0.0012891284422948956,0.0011532869830261916,1.0,1.0,30,161124,0.026524711400270462,14.37641191482544,0.5027105212211609,0.232687845826149,,
kv_recall4,adfc3,60,0.00021087595087010413,0.0001894550041470211,1.0,1.0,30,161124,0.002500672824680805,27.758718490600586,0.5040779113769531,0.1822892129421234,,
kv_recall4,adfc3,90,0.00015474893734790385,0.00015184719450189732,1.0,1.0,30,161124,0.0017996736569330096,40.21937131881714,0.5039736032485962,0.1741047203540802,,
kv_recall4,adfc3,120,0.00012730791058856994,0.00012819355288229417,1.0,1.0,30,161124,0.0014625907642766833,52.73443675041199,0.504317045211792,0.17198827862739563,,
kv_recall4,adfc6,1,0.7106757164001465,0.7022106647491455,0.4853515625,0.4853515625,1,162988,0.7478916645050049,0.8565216064453125,0.49938178062438965,0.9747654795646667,0.023583799600601196,0.49713557958602905
kv_recall4,adfc6,30,0.001459235674701631,0.0013301740400493145,1.0,1.0,30,162988,0.016893722116947174,12.727803945541382,0.5170903205871582,0.06454964727163315,0.02145278826355934,0.49998754262924194
kv_recall4,adfc6,60,0.00042580277658998966,0.00041597332165110856,1.0,1.0,30,162988,0.004983620718121529,25.00547194480896,0.5127684473991394,0.0648002102971077,0.02143525891005993,0.49998027086257935
kv_recall4,adfc6,90,0.00031298911198973656,0.00031309749465435743,1.0,1.0,30,162988,0.0035852943547070026,37.37597417831421,0.5085166096687317,0.10165416449308395,0.024168048053979874,0.4995996057987213
kv_recall4,adfc6,120,0.0002656498982105404,0.0002514595980755985,1.0,1.0,30,162988,0.0030840965919196606,50.24598550796509,0.5068159699440002,0.09882643073797226,0.022172098979353905,0.49865442514419556
